iter	Passed	Remaining
0	102	102792
1	104	52233
2	106	35386
3	108	26928
4	110	21918
5	112	18561
6	113	16142
7	115	14323
8	118	13062
9	120	11924
10	122	10979
11	123	10200
12	126	9578
13	128	9078
14	132	8723
15	154	9476
16	160	9286
17	162	8871
18	164	8499
19	166	8169
20	168	7872
21	175	7810
22	177	7556
23	179	7314
24	182	7121
25	184	6923
26	189	6832
27	192	6679
28	194	6523
29	196	6360
30	198	6202
31	200	6055
32	203	5957
33	205	5824
34	206	5701
35	208	5582
36	210	5467
37	212	5385
38	214	5282
39	218	5253
40	221	5170
41	223	5096
42	225	5021
43	227	4937
44	228	4859
45	230	4783
46	232	4710
47	236	4695
48	239	4639
49	241	4586
50	243	4529
51	245	4468
52	246	4411
53	249	4378
54	252	4336
55	254	4285
56	255	4230
57	257	4176
58	258	4126
59	260	4077
60	261	4030
61	265	4020
62	267	3978
63	269	3934
64	270	3893
65	272	3853
66	274	3816
67	275	3780
68	277	3742
69	280	3731
70	282	3697
71	284	3664
72	286	3636
73	287	3602
74	289	3570
75	291	3539
76	293	3512
77	296	3500
78	297	3469
79	299	3439
80	300	3410
81	302	3382
82	302	3346
83	304	3319
84	306	3295
85	307	3269
86	311	3265
87	312	3241
88	314	3221
89	316	3196
90	317	3172
91	319	3149
92	320	3129
93	322	3106
94	323	3084
95	327	3085
96	329	3064
97	330	3043
98	332	3022
99	333	3003
100	336	2991
101	338	2980
102	343	2989
103	345	2978
104	348	2970
105	351	2965
106	354	2959
107	362	2992
108	363	2975
109	365	2958
110	367	2940
111	368	2922
112	370	2905
113	373	2900
114	374	2885
115	377	2878
116	379	2862
117	380	2847
118	382	2831
119	384	2816
120	385	2801
121	389	2802
122	391	2787
123	393	2777
124	394	2762
125	396	2747
126	397	2730
127	399	2719
128	400	2705
129	404	2706
130	406	2693
131	407	2680
132	409	2666
133	410	2653
134	412	2641
135	414	2631
136	415	2618
137	419	2622
138	421	2610
139	423	2598
140	424	2587
141	425	2571
142	427	2560
143	429	2554
144	431	2545
145	434	2541
146	436	2530
147	437	2519
148	439	2508
149	440	2497
150	442	2487
151	443	2476
152	445	2466
153	449	2468
154	450	2458
155	452	2448
156	454	2437
157	455	2427
158	457	2418
159	458	2408
160	459	2396
161	461	2386
162	464	2384
163	465	2375
164	467	2367
165	469	2358
166	470	2348
167	472	2339
168	473	2329
169	475	2321
170	477	2316
171	479	2310
